date,data_source,treatment_name,stp_ods_cd,stp_gss_cd,stp_name,reg_ods_cd,reg_gss_cd,reg_name,numerator,numerator_unit,denominator,denominator_unit
2020-09-30,Secondary Care,abemaciclib,QE1,E54000048,Lancashire and South Cumbria ICS,Y62,E40000010,North West,3108,ADD,1701655,Population
2020-09-30,Secondary Care,abemaciclib,QF7,E54000009,South Yorkshire and Bassetlaw STP,Y63,E40000009,North East and Yorkshire,1092,ADD,1533334,Population
2020-09-30,Secondary Care,abemaciclib,QGH,E54000019,Herefordshire and Worcestershire STP,Y60,E40000008,Midlands,1974,ADD,791685,Population
2020-09-30,Secondary Care,abemaciclib,QH8,E54000026,Mid and South Essex STP,Y61,E40000007,East of England,2100,ADD,1199296,Population
2020-09-30,Secondary Care,abemaciclib,QHG,E54000024,"Bedfordshire, Luton and Milton Keynes STP",Y61,E40000007,East of England,700,ADD,959098,Population
2020-09-30,Secondary Care,abemaciclib,QHL,E54000017,Birmingham and Solihull STP,Y60,E40000008,Midlands,3570,ADD,1179731,Population
2020-09-30,Secondary Care,abemaciclib,QHM,E54000050,Cumbria and North East STP,Y63,E40000009,North East and Yorkshire,3975,ADD,3000432,Population
2020-09-30,Secondary Care,abemaciclib,QJ2,E54000012,Joined Up Care Derbyshire STP,Y60,E40000008,Midlands,518,ADD,1030393,Population
2020-09-30,Secondary Care,abemaciclib,QJG,E54000023,Suffolk and North East Essex ICS,Y61,E40000007,East of England,1680,ADD,987177,Population
2020-09-30,Secondary Care,abemaciclib,QJK,E54000037,Devon STP,Y58,E40000006,South West,3072,ADD,1209773,Population
2020-09-30,Secondary Care,abemaciclib,QJM,E54000013,Lincolnshire STP,Y60,E40000008,Midlands,1232,ADD,766333,Population
2020-09-30,Secondary Care,abemaciclib,QK1,E54000015,"Leicester, Leicestershire and Rutland STP",Y60,E40000008,Midlands,504,ADD,1107597,Population
2020-09-30,Secondary Care,abemaciclib,QKK,E54000030,Our Healthier South East London STP,Y56,E40000003,London,1946,ADD,1818226,Population
2020-09-30,Secondary Care,abemaciclib,QKS,E54000032,Kent and Medway STP,Y59,E40000005,South East,1078,ADD,1868199,Population
2020-09-30,Secondary Care,abemaciclib,QM7,E54000025,Hertfordshire and West Essex STP,Y61,E40000007,East of England,1372,ADD,1488061,Population
2020-09-30,Secondary Care,abemaciclib,QMF,E54000029,East London Health & Care Partnership STP,Y56,E40000003,London,840,ADD,2036470,Population
2020-09-30,Secondary Care,abemaciclib,QMJ,E54000028,North London Partners in Health & Care STP,Y56,E40000003,London,1372,ADD,1526582,Population
2020-09-30,Secondary Care,abemaciclib,QMM,E54000022,Norfolk and Waveney Health & Care Partnership STP,Y61,E40000007,East of England,532,ADD,1032661,Population
2020-09-30,Secondary Care,abemaciclib,QNC,E54000010,Staffordshire & Stoke on Trent STP,Y60,E40000008,Midlands,1302,ADD,1139794,Population
2020-09-30,Secondary Care,abemaciclib,QNQ,E54000034,Frimley Health & Care STP,Y59,E40000005,South East,224,ADD,746739,Population
2020-09-30,Secondary Care,abemaciclib,QNX,E54000053,Sussex Health and Care Partnership,Y59,E40000005,South East,1692,ADD,1711539,Population
2020-09-30,Secondary Care,abemaciclib,QOC,E54000011,Shropshire and Telford and Wrekin STP,Y60,E40000008,Midlands,504,ADD,506737,Population
2020-09-30,Secondary Care,abemaciclib,QOP,E54000007,Greater Manchester Health & Social Care Partnership,Y62,E40000010,North West,2632,ADD,2881890,Population
2020-09-30,Secondary Care,abemaciclib,QOQ,E54000051,"Humber, Coast and Vale STP",Y63,E40000009,North East and Yorkshire,3087,ADD,1708723,Population
2020-09-30,Secondary Care,abemaciclib,QOX,E54000040,"Bath and North East Somerset, Swindon and Wiltshire STP",Y58,E40000006,South West,616,ADD,929964,Population
2020-09-30,Secondary Care,abemaciclib,QPM,E54000020,Northamptonshire STP,Y60,E40000008,Midlands,658,ADD,740111,Population
